date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:37	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Mar%202021%2010:15:36%20GMT	https://fortgag.com/robots.txt		(from )
11:15:37	9477/9477	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2010:15:36%20GMT	https://fortgag.com/	C:/Users/DoDo/Music/1fort/fort/fortgag.com/index.html	(from )
11:15:37	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Mar%202021%2010:15:36%20GMT	https://fortgag.com/img/favicon.ico	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/favicon.ico	(from https://fortgag.com/)
11:15:39	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Mar%202021%2010:15:37%20GMT	http://www.mywebsiteurl.com/social-share-image.jpg	C:/Users/DoDo/Music/1fort/fort/www.mywebsiteurl.com/social-share-image.1.delayed	(from https://fortgag.com/)
11:15:49	11316/11316	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2010:15:47%20GMT	http://ww38.mywebsiteurl.com/social-share-image.jpg	C:/Users/DoDo/Music/1fort/fort/ww38.mywebsiteurl.com/social-share-image.html	(from https://fortgag.com/)
11:15:49	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Mar%202021%2010:15:48%20GMT	http://www.mywebsiteurl.com/twitter-share-image.jpg	C:/Users/DoDo/Music/1fort/fort/www.mywebsiteurl.com/twitter-share-image.3.delayed	(from https://fortgag.com/)
11:15:49	11320/11320	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2010:15:48%20GMT	http://ww38.mywebsiteurl.com/twitter-share-image.jpg	C:/Users/DoDo/Music/1fort/fort/ww38.mywebsiteurl.com/twitter-share-image.html	(from https://fortgag.com/)
11:15:50	7354/7354	---M-Z	200	added ('OK')	text/css	etag:%220b704046d76bb4d3929be4f7f20472f5%22	https://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/Users/DoDo/Music/1fort/fort/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from https://fortgag.com/)
11:15:50	51215/51215	---MCZ	200	added ('OK')	text/css	etag:W/%221cc6c92172d124fbd305ba3d8e263333%22	https://use.fontawesome.com/releases/v5.5.0/css/all.css	C:/Users/DoDo/Music/1fort/fort/use.fontawesome.com/releases/v5.5.0/css/all.css	(from https://fortgag.com/)
11:15:51	155758/155758	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Feb%202019%2003:47:50%20GMT	https://fortgag.com/css/bootstrap.min.css	C:/Users/DoDo/Music/1fort/fort/fortgag.com/css/bootstrap.min.css	(from https://fortgag.com/)
11:15:51	77758/77758	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20May%202019%2000:38:14%20GMT	https://fortgag.com/css/animate.css	C:/Users/DoDo/Music/1fort/fort/fortgag.com/css/animate.css	(from https://fortgag.com/)
11:15:51	6951/6951	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2020:11:48%20GMT	https://fortgag.com/css/magnific-popup.css	C:/Users/DoDo/Music/1fort/fort/fortgag.com/css/magnific-popup.css	(from https://fortgag.com/)
11:15:51	11432/11432	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2020:46:28%20GMT	https://fortgag.com/css/style.css	C:/Users/DoDo/Music/1fort/fort/fortgag.com/css/style.css	(from https://fortgag.com/)
11:15:52	291363/291363	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Jun%202020%2010:37:40%20GMT	https://fortgag.com/img/logo.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/logo.png	(from https://fortgag.com/)
11:15:52	59824/59824	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Oct%202020%2013:30:14%20GMT	https://fortgag.com/img/1a.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/1a.png	(from https://fortgag.com/)
11:15:52	71882/71882	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:12:12%20GMT	https://fortgag.com/img/kratos%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/kratos%20x.png	(from https://fortgag.com/)
11:15:52	100717/100717	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:11:34%20GMT	https://fortgag.com/img/venom%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/venom%20x.png	(from https://fortgag.com/)
11:15:53	87335/87335	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:09:10%20GMT	https://fortgag.com/img/the%20mandalorian%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/the%20mandalorian%20x.png	(from https://fortgag.com/)
11:15:53	66852/66852	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:09:26%20GMT	https://fortgag.com/img/the%20joker%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/the%20joker%20x.png	(from https://fortgag.com/)
11:15:53	80383/80383	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:12:48%20GMT	https://fortgag.com/img/master%20chief%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/master%20chief%20x.png	(from https://fortgag.com/)
11:15:53	77079/77079	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:11:04%20GMT	https://fortgag.com/img/midas%20rex%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/midas%20rex%20x.png	(from https://fortgag.com/)
11:15:53	72003/72003	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Dec%202020%2001:11:56%20GMT	https://fortgag.com/img/shadow%20midas%20x.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/shadow%20midas%20x.png	(from https://fortgag.com/)
11:15:54	84531/84531	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Oct%202020%2013:33:20%20GMT	https://fortgag.com/img/9a.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/9a.png	(from https://fortgag.com/)
11:15:54	69964/69964	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Oct%202020%2013:33:10%20GMT	https://fortgag.com/img/10a.png	C:/Users/DoDo/Music/1fort/fort/fortgag.com/img/10a.png	(from https://fortgag.com/)
